Match Number,Round Number,Date,Location,Home Team,Away Team,Result
993,20,10/03/2022 21:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,100 - 129
994,20,11/03/2022 00:00,Ball Arena,Denver Nuggets,Golden State Warriors,102 - 113
995,20,11/03/2022 21:00,Amway Center,Orlando Magic,Minnesota Timberwolves,118 - 110
996,20,11/03/2022 21:30,State Farm Arena,Atlanta Hawks,LA Clippers,112 - 106
997,20,11/03/2022 21:30,TD Garden,Boston Celtics,Detroit Pistons,114 - 103
998,20,11/03/2022 22:00,FTX Arena,Miami Heat,Cleveland Cavaliers,117 - 105
999,20,11/03/2022 22:00,Toyota Center,Houston Rockets,Dallas Mavericks,100 - 113
1000,20,11/03/2022 22:00,FedExForum,Memphis Grizzlies,New York Knicks,118 - 114
1001,20,11/03/2022 22:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,120 - 142
1002,20,11/03/2022 22:30,AT&T Center,San Antonio Spurs,Utah Jazz,104 - 102
1003,20,11/03/2022 23:00,Footprint Center,Phoenix Suns,Toronto Raptors,112 - 117
1004,20,12/03/2022 00:30,Crypto.com Arena,Los Angeles Lakers,Washington Wizards,122 - 109
1005,20,12/03/2022 22:00,FTX Arena,Miami Heat,Minnesota Timberwolves,104 - 113
1006,20,12/03/2022 22:00,United Center,Chicago Bulls,Cleveland Cavaliers,101 - 91
1007,20,12/03/2022 22:00,AT&T Center,San Antonio Spurs,Indiana Pacers,108 - 119
1008,20,12/03/2022 22:30,Chase Center,Golden State Warriors,Milwaukee Bucks,122 - 109
1009,20,12/03/2022 23:00,Ball Arena,Denver Nuggets,Toronto Raptors,115 - 127
1010,20,12/03/2022 23:00,Vivint Arena,Utah Jazz,Sacramento Kings,134 - 125
1011,20,13/03/2022 00:00,Moda Center,Portland Trail Blazers,Washington Wizards,127 - 118
1012,20,13/03/2022 14:00,Barclays Center,Brooklyn Nets,New York Knicks,110 - 107
1013,20,13/03/2022 16:00,Little Caesars Arena,Detroit Pistons,LA Clippers,102 - 106
1014,20,13/03/2022 16:30,TD Garden,Boston Celtics,Dallas Mavericks,92 - 95
1015,20,13/03/2022 19:00,Amway Center,Orlando Magic,Philadelphia 76ers,114 - 116
1016,20,13/03/2022 20:00,State Farm Arena,Atlanta Hawks,Indiana Pacers,131 - 128
1017,20,13/03/2022 20:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,130 - 105
1018,20,13/03/2022 20:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,118 - 125
1019,20,13/03/2022 22:00,Footprint Center,Phoenix Suns,Los Angeles Lakers,140 - 111
1020,20,14/03/2022 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,120 - 111
1021,20,14/03/2022 20:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,122 - 113
1022,20,14/03/2022 20:30,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,110 - 114
1023,20,14/03/2022 21:00,Paycom Center,Oklahoma City Thunder,Charlotte Hornets,116 - 134
1024,20,14/03/2022 21:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,139 - 149
1025,20,14/03/2022 23:00,Chase Center,Golden State Warriors,Washington Wizards,126 - 112
1026,20,14/03/2022 23:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,112 - 103
1027,20,14/03/2022 23:00,Vivint Arena,Utah Jazz,Milwaukee Bucks,111 - 117
1028,20,14/03/2022 23:30,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,103 - 114
1029,20,15/03/2022 20:00,Gainbridge Fieldhouse,Indiana Pacers,Memphis Grizzlies,102 - 135
1030,20,15/03/2022 20:00,Amway Center,Orlando Magic,Brooklyn Nets,108 - 150
1031,20,15/03/2022 20:30,FTX Arena,Miami Heat,Detroit Pistons,105 - 98
1032,20,15/03/2022 21:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,115 - 131
1033,20,16/03/2022 20:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,116 - 106
1034,20,16/03/2022 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,114 - 118
1035,20,16/03/2022 20:00,Capital One Arena,Washington Wizards,Denver Nuggets,109 - 127
1036,20,16/03/2022 20:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,111 - 113
1037,20,16/03/2022 20:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,128 - 98
1038,20,16/03/2022 21:00,Toyota Center,Houston Rockets,Phoenix Suns,112 - 129
1039,20,16/03/2022 21:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,124 - 104
1040,20,16/03/2022 21:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,122 - 120
1041,20,16/03/2022 22:00,Vivint Arena,Utah Jazz,Chicago Bulls,125 - 110
1042,20,16/03/2022 23:00,Chase Center,Golden State Warriors,Boston Celtics,88 - 110
1043,20,16/03/2022 23:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,126 - 135
1044,20,16/03/2022 23:30,Crypto.com Arena,LA Clippers,Toronto Raptors,100 - 130
1045,21,17/03/2022 20:00,Amway Center,Orlando Magic,Detroit Pistons,120 - 134
1046,21,18/03/2022 20:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,111 - 101
1047,21,18/03/2022 20:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,120 - 105
1048,21,18/03/2022 20:30,Barclays Center,Brooklyn Nets,Portland Trail Blazers,128 - 123
1049,21,18/03/2022 20:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,119 - 116
1050,21,18/03/2022 20:30,Madison Square Garden,New York Knicks,Washington Wizards,100 - 97
1051,21,18/03/2022 20:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,123 - 128
1052,21,18/03/2022 21:00,FTX Arena,Miami Heat,Oklahoma City Thunder,120 - 108
1053,21,18/03/2022 21:00,Toyota Center,Houston Rockets,Indiana Pacers,118 - 121
